trajectory_key,case,Id,split
case1::1,case1,1,train
case1::2,case1,2,train
case1::3,case1,3,train
case1::4,case1,4,train
case1::5,case1,5,train
case1::6,case1,6,train
case1::7,case1,7,validation
case1::8,case1,8,train
case1::9,case1,9,test
case1::10,case1,10,train
case1::11,case1,11,train
case1::12,case1,12,validation
case1::13,case1,13,test
case1::14,case1,14,test
case1::15,case1,15,test
case1::16,case1,16,train
case1::17,case1,17,train
case1::18,case1,18,train
case1::19,case1,19,train
case1::20,case1,20,test
case1::21,case1,21,train
case1::22,case1,22,train
case1::23,case1,23,test
case1::24,case1,24,train
case1::25,case1,25,train
case1::26,case1,26,train
case1::27,case1,27,train
case1::28,case1,28,train
case1::29,case1,29,train
case1::30,case1,30,train
case1::31,case1,31,validation
case1::32,case1,32,train
case1::33,case1,33,train
case1::34,case1,34,train
case1::35,case1,35,validation
case1::36,case1,36,test
case1::37,case1,37,test
case1::38,case1,38,train
case1::39,case1,39,train
case1::40,case1,40,train
case1::41,case1,41,train
case1::42,case1,42,test
case1::43,case1,43,train
case1::44,case1,44,train
case1::45,case1,45,validation
case1::46,case1,46,train
case1::47,case1,47,train
case1::48,case1,48,test
case1::49,case1,49,train
case1::50,case1,50,validation
case1::51,case1,51,train
case1::52,case1,52,train
case1::53,case1,53,train
case1::54,case1,54,test
case1::55,case1,55,validation
case1::56,case1,56,train
case1::57,case1,57,train
case1::58,case1,58,train
case1::59,case1,59,validation
case1::60,case1,60,train
case1::61,case1,61,train
case1::62,case1,62,train
case1::63,case1,63,train
case1::64,case1,64,train
case1::65,case1,65,test
case1::66,case1,66,test
case1::67,case1,67,test
case1::68,case1,68,validation
case1::69,case1,69,train
case1::70,case1,70,train
case1::71,case1,71,train
case1::72,case1,72,train
case1::73,case1,73,train
case1::74,case1,74,train
case1::75,case1,75,validation
case1::76,case1,76,train
case1::77,case1,77,train
case1::78,case1,78,test
case1::79,case1,79,train
case1::80,case1,80,train
case1::81,case1,81,train
case1::82,case1,82,train
case1::83,case1,83,validation
case1::84,case1,84,train
case1::85,case1,85,train
case1::86,case1,86,validation
case1::87,case1,87,train
case1::88,case1,88,train
case1::89,case1,89,validation
case1::90,case1,90,train
case1::91,case1,91,validation
case1::92,case1,92,train
case1::93,case1,93,train
case1::94,case1,94,train
case1::95,case1,95,train
case1::96,case1,96,train
case1::97,case1,97,train
case1::98,case1,98,train
case1::99,case1,99,validation
case1::100,case1,100,train
case2::1,case2,1,validation
case2::2,case2,2,test
case2::3,case2,3,train
case2::4,case2,4,train
case2::5,case2,5,train
case2::6,case2,6,test
case2::7,case2,7,train
case2::8,case2,8,train
case2::9,case2,9,train
case2::10,case2,10,train
case2::11,case2,11,validation
case2::12,case2,12,validation
case2::13,case2,13,validation
case2::14,case2,14,validation
case2::15,case2,15,validation
case2::16,case2,16,train
case2::17,case2,17,train
case2::18,case2,18,train
case2::19,case2,19,train
case2::20,case2,20,validation
case2::21,case2,21,train
case2::22,case2,22,validation
case2::23,case2,23,test
case2::24,case2,24,train
case2::25,case2,25,train
case2::26,case2,26,train
case2::27,case2,27,train
case2::28,case2,28,train
case2::29,case2,29,train
case2::30,case2,30,train
case2::31,case2,31,train
case2::32,case2,32,train
case2::33,case2,33,train
case2::34,case2,34,train
case2::35,case2,35,train
case2::36,case2,36,train
case2::37,case2,37,train
case2::38,case2,38,train
case2::39,case2,39,train
case2::40,case2,40,validation
case2::41,case2,41,train
case2::42,case2,42,train
case2::43,case2,43,train
case2::44,case2,44,train
case2::45,case2,45,test
case2::46,case2,46,train
case2::47,case2,47,train
case2::48,case2,48,train
case2::49,case2,49,test
case2::50,case2,50,test
case2::51,case2,51,train
case2::52,case2,52,train
case2::53,case2,53,train
case2::54,case2,54,train
case2::55,case2,55,train
case2::56,case2,56,train
case2::57,case2,57,train
case2::58,case2,58,train
case2::59,case2,59,test
case2::60,case2,60,test
case2::61,case2,61,validation
case2::62,case2,62,test
case2::63,case2,63,validation
case2::64,case2,64,train
case2::65,case2,65,train
case2::66,case2,66,validation
case2::67,case2,67,train
case2::68,case2,68,train
case2::69,case2,69,train
case2::70,case2,70,train
case2::71,case2,71,train
case2::72,case2,72,train
case2::73,case2,73,train
case2::74,case2,74,test
case2::75,case2,75,train
case2::76,case2,76,train
case2::77,case2,77,test
case2::78,case2,78,train
case2::79,case2,79,test
case2::80,case2,80,train
case2::81,case2,81,validation
case2::82,case2,82,train
case2::83,case2,83,train
case2::84,case2,84,train
case2::85,case2,85,train
case2::86,case2,86,test
case2::87,case2,87,train
case2::88,case2,88,train
case2::89,case2,89,validation
case2::90,case2,90,train
case2::91,case2,91,train
case2::92,case2,92,validation
case2::93,case2,93,train
case2::94,case2,94,test
case2::95,case2,95,train
case2::96,case2,96,train
case2::97,case2,97,train
case2::98,case2,98,train
case2::99,case2,99,train
case2::100,case2,100,test
case3::1,case3,1,train
case3::2,case3,2,test
case3::3,case3,3,train
case3::4,case3,4,train
case3::5,case3,5,train
case3::6,case3,6,train
case3::7,case3,7,train
case3::8,case3,8,test
case3::9,case3,9,test
case3::10,case3,10,validation
case3::11,case3,11,train
case3::12,case3,12,train
case3::13,case3,13,train
case3::14,case3,14,validation
case3::15,case3,15,train
case3::16,case3,16,train
case3::17,case3,17,train
case3::18,case3,18,validation
case3::19,case3,19,train
case3::20,case3,20,train
case3::21,case3,21,train
case3::22,case3,22,validation
case3::23,case3,23,train
case3::24,case3,24,test
case3::25,case3,25,train
case3::26,case3,26,train
case3::27,case3,27,train
case3::28,case3,28,test
case3::29,case3,29,train
case3::30,case3,30,train
case3::31,case3,31,test
case3::32,case3,32,test
case3::33,case3,33,test
case3::34,case3,34,train
case3::35,case3,35,train
case3::36,case3,36,train
case3::37,case3,37,train
case3::38,case3,38,validation
case3::39,case3,39,train
case3::40,case3,40,train
case3::41,case3,41,train
case3::42,case3,42,validation
case3::43,case3,43,train
case3::44,case3,44,test
case3::45,case3,45,validation
case3::46,case3,46,train
case3::47,case3,47,train
case3::48,case3,48,test
case3::49,case3,49,train
case3::50,case3,50,train
case3::51,case3,51,train
case3::52,case3,52,train
case3::53,case3,53,train
case3::54,case3,54,validation
case3::55,case3,55,validation
case3::56,case3,56,train
case3::57,case3,57,train
case3::58,case3,58,train
case3::59,case3,59,test
case3::60,case3,60,train
case3::61,case3,61,test
case3::62,case3,62,train
case3::63,case3,63,validation
case3::64,case3,64,train
case3::65,case3,65,train
case3::66,case3,66,train
