trajectory_key,case,Id,row_count,start_time,end_time,duration_hours,missing_count,infinite_count,duplicate_timestamp_count,invalid_interval_count,min_interval_hours,max_interval_hours
case1::1,case1,1,2929,0.0,146.4,146.4,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::2,case1,2,2937,0.0,146.8,146.8,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::3,case1,3,2909,0.0,145.4,145.4,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::4,case1,4,2905,0.0,145.2,145.2,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::5,case1,5,2899,0.0,144.9,144.9,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::6,case1,6,2837,0.0,141.8,141.8,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::7,case1,7,2891,0.0,144.5,144.5,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::8,case1,8,2781,0.0,139.0,139.0,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::9,case1,9,2888,0.0,144.35,144.35,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::10,case1,10,2752,0.0,137.55,137.55,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::11,case1,11,2798,0.0,139.85,139.85,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::12,case1,12,2764,0.0,138.15,138.15,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::13,case1,13,2797,0.0,139.8,139.8,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::14,case1,14,2914,0.0,145.65,145.65,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::15,case1,15,2901,0.0,145.0,145.0,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::16,case1,16,2822,0.0,141.05,141.05,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::17,case1,17,2939,0.0,146.9,146.9,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::18,case1,18,2764,0.0,138.15,138.15,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::19,case1,19,2858,0.0,142.85,142.85,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::20,case1,20,2830,0.0,141.45,141.45,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::21,case1,21,2906,0.0,145.25,145.25,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::22,case1,22,2905,0.0,145.2,145.2,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::23,case1,23,2785,0.0,139.2,139.2,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::24,case1,24,2865,0.0,143.2,143.2,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::25,case1,25,2828,0.0,141.35,141.35,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::26,case1,26,2872,0.0,143.55,143.55,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::27,case1,27,2890,0.0,144.45,144.45,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::28,case1,28,2912,0.0,145.55,145.55,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::29,case1,29,2804,0.0,140.15,140.15,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::30,case1,30,2877,0.0,143.8,143.8,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::31,case1,31,2879,0.0,143.9,143.9,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::32,case1,32,2769,0.0,138.4,138.4,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::33,case1,33,2770,0.0,138.45,138.45,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::34,case1,34,2865,0.0,143.2,143.2,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::35,case1,35,2942,0.0,147.05,147.05,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::36,case1,36,2821,0.0,141.0,141.0,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::37,case1,37,2865,0.0,143.2,143.2,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::38,case1,38,2777,0.0,138.8,138.8,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::39,case1,39,2898,0.0,144.85,144.85,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::40,case1,40,2781,0.0,139.0,139.0,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::41,case1,41,2841,0.0,142.0,142.0,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::42,case1,42,2879,0.0,143.9,143.9,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::43,case1,43,2920,0.0,145.95,145.95,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::44,case1,44,2954,0.0,147.65,147.65,0,0,0,0,0.04999999999998295,0.05000000000001137
case1::45,case1,45,2859,0.0,142.9,142.9,0,0,0,0,0.04999999999998295,0.05000000000001137
