feature,source_feature,transform,window,model_feature
D feed,D feed,current,current,True
D feed__delta_5m,D feed,delta,5m,True
D feed__rate_5m_per_h,D feed,rate,5m,True
D feed__mean_15m,D feed,mean,15m,True
D feed__std_15m,D feed,std,15m,True
D feed__delta_15m,D feed,delta,15m,True
D feed__rate_15m_per_h,D feed,rate,15m,True
D feed__mean_30m,D feed,mean,30m,True
D feed__std_30m,D feed,std,30m,True
D feed__max_30m,D feed,max,30m,True
D feed__min_30m,D feed,min,30m,True
D feed__delta_60m,D feed,delta,60m,True
D feed__rate_60m_per_h,D feed,rate,60m,True
D feed__slope_60m_per_h,D feed,slope,60m,True
E Feed,E Feed,current,current,True
E Feed__delta_5m,E Feed,delta,5m,True
E Feed__rate_5m_per_h,E Feed,rate,5m,True
E Feed__mean_15m,E Feed,mean,15m,True
E Feed__std_15m,E Feed,std,15m,True
E Feed__delta_15m,E Feed,delta,15m,True
E Feed__rate_15m_per_h,E Feed,rate,15m,True
E Feed__mean_30m,E Feed,mean,30m,True
E Feed__std_30m,E Feed,std,30m,True
E Feed__max_30m,E Feed,max,30m,True
E Feed__min_30m,E Feed,min,30m,True
E Feed__delta_60m,E Feed,delta,60m,True
E Feed__rate_60m_per_h,E Feed,rate,60m,True
E Feed__slope_60m_per_h,E Feed,slope,60m,True
A Feed,A Feed,current,current,True
A Feed__delta_5m,A Feed,delta,5m,True
A Feed__rate_5m_per_h,A Feed,rate,5m,True
A Feed__mean_15m,A Feed,mean,15m,True
A Feed__std_15m,A Feed,std,15m,True
A Feed__delta_15m,A Feed,delta,15m,True
A Feed__rate_15m_per_h,A Feed,rate,15m,True
A Feed__mean_30m,A Feed,mean,30m,True
A Feed__std_30m,A Feed,std,30m,True
A Feed__max_30m,A Feed,max,30m,True
A Feed__min_30m,A Feed,min,30m,True
A Feed__delta_60m,A Feed,delta,60m,True
A Feed__rate_60m_per_h,A Feed,rate,60m,True
A Feed__slope_60m_per_h,A Feed,slope,60m,True
A and C Feed,A and C Feed,current,current,True
A and C Feed__delta_5m,A and C Feed,delta,5m,True
A and C Feed__rate_5m_per_h,A and C Feed,rate,5m,True
A and C Feed__mean_15m,A and C Feed,mean,15m,True
A and C Feed__std_15m,A and C Feed,std,15m,True
A and C Feed__delta_15m,A and C Feed,delta,15m,True
A and C Feed__rate_15m_per_h,A and C Feed,rate,15m,True
A and C Feed__mean_30m,A and C Feed,mean,30m,True
A and C Feed__std_30m,A and C Feed,std,30m,True
A and C Feed__max_30m,A and C Feed,max,30m,True
A and C Feed__min_30m,A and C Feed,min,30m,True
A and C Feed__delta_60m,A and C Feed,delta,60m,True
A and C Feed__rate_60m_per_h,A and C Feed,rate,60m,True
A and C Feed__slope_60m_per_h,A and C Feed,slope,60m,True
Recycle,Recycle,current,current,True
Recycle__delta_5m,Recycle,delta,5m,True
Recycle__rate_5m_per_h,Recycle,rate,5m,True
Recycle__mean_15m,Recycle,mean,15m,True
Recycle__std_15m,Recycle,std,15m,True
Recycle__delta_15m,Recycle,delta,15m,True
